1.あいてる。 你有空吗？
670.自分(じぶん)でやるよ。 我自己来！
671.失敗(しっぱい)しちゃった。 失败了。
672.失礼(しつれい)ですが、どなたでしょう。 抱歉，您是哪位？
673.失礼(しつれい)なことするな。 不得无礼！
674.寂(さび)しいの。 你寂寞吗？
675.弱(よわ)むしだね。 真是个胆小鬼！
676.手間(てま)がかかりそうだ。 似乎挺麻烦。
677.手続(てつづ)きはすべて順調(じゅんちょう)にいきましたか。 手续办的还顺利吧。
678.受賞(じゅしょう)おめでとう。 祝贺您这次得奖。
679.十分(じゅうぶん)だ。 足够了。
680.重(おも)いね。 太重了！
681.出(で)て行(い)け。 滚！
682.出発(しゅっぱつ)しよう。 出发吧。
683.順調(じゅんちょう)だよ。 一切顺利。
684.暑(あつ)い。 好热。
685.勝手(かって)に言(い)わないで。 别乱讲！
686.少(すこ)し休(やす)んでください。 稍歇一会吧！
687.少々(しょうしょう)お待(ま)ちください。 请稍等片刻。
688.承知(しょうち)しました。 明白了。
689.冗談(じょうだん)だよ。 开个玩笑嘛。
690.冗談(じょうだん)でしょう。 你是在开玩笑吧。
691.冗談言(じょうだんい)わないで。 别开玩笑了！
692.食費(しょくひ)は自分持(じぶんも)ちにしましょう。 餐费自付吧。
693.信(しん)じられない。 真是难以置信！
694.信(しん)じろ。 相信我！
695.信(しん)じて疑(うたが)わない。 坚信不疑。
696.心配(しんぱい)しないで。 别担心。
697.新年(しんねん)にあたり、みなさまのご多幸(たこう)をおいのりいたします。 时值新年，谨祝各位万事如意！
698.神経質(しんけいしつ)だ。 神经病！
699.人(ひと)によってちがうよ。 因人而异。
700.正(ただ)しい。 对了。
701.正解(せいかい)。 说的对！
702.正装(せいそう)でいらしてください。 请着正装。
703.正直(しょうじき)に言(い)え。 说实话！
704.真面目(まじめ)に言(い)って。 老实说！
705.静(しず)かにして。 请静一下。
706.静(しず)かにしなさい。 请安静！
707.税(ぜい)こみ。 内含税吗？
708.税抜(ぜいぬ)き。 不含税吗？
709.雪合戦(ゆきがっせん)しよう。 打雪仗吧！
710.絶対(ぜったい)そうしない。 绝对不那么做。
711.絶対(ぜったい)いけない。 万万不可！
712.全員賛成(ぜんいんさんせい)。 全体赞成！
713.全部(ぜんぶ)でいくらになりますか。 总共多少钱？
714.相(あい)かわらずさ。 一如往昔啊！
715.彼女(かのじょ)と分(わ)かれた。 跟女朋友分手了。
716.催促(さいそく)しないで。 别催我！
717.足元(あしもと)に気(き)をつけて。 慢走。
718.速(はや)く。 快点。
719.多分(たぶん)ね。 或许吧。
720.体(からだ)の調子(ちょうし)が悪(わる)い。 身体不舒服。
721.待(ま)っているよ。 在等你呢！
722.怠(なま)けもの！ 你真懒！
723.退屈(たいくつ)だね。 好没劲啊！
724.大(おお)きい声(こえ)で。 大点声。
725.大(おお)きなおせわだ。 多管闲事！
726.大(だい)きらいだ。 讨厌死了！
727.大成功(だいせいこう)。 大功告成了。
728.誰(だれ)か手伝(てつだ)ってくれませんか。 谁来帮我一下。
729.誰(だれ)が教(おし)えたの。 谁告诉你的？
730.誕生日(たんじょうび)おめでとう。 生日快乐。
731.暖(あたた)かい。 真暖和。
732.遅(おそ)くなった。 迟到了。
733.注意(ちゅうい)してください。 注意了！
734.調(しら)べてみて。 查查看。
735.調子(ちょうし)はどうですか。 您过的怎么样？
736.電話(でんわ)がつながりました。 电话接通了。
737.電話(でんわ)してね。 要给我打电话啊！
738.電話(でんわ)で予約(よやく)してあります。 用电话预约好了。
739.電話番号(でんわばんごう)は何番(なんばん)ですか。 你的电话号码是多少？
740.都合(つごう)が悪(わる)い。 脱不开身。
741.動(うご)かないで。 别动！
742.同感(どうかん)です。 我也这么想啊。
743.道中(どうちゅう)ご無事(ぶじ)をおいのりします。 祝您一路平安。
744.特別変(とくべつか)わったことはありません。 没什么变化。
745.別(べつ)に。 没什么。
746.内証(ないしょ)だ。 保密！
747.難(むずか)しいな。 真难啊！
748.賑(にぎ)やかだね。 好热闹！
749.拝聴(はいちょう)しますよ。 我洗耳恭听。
750.反対(はんたい)。 我反对！
751.彼女(かのじょ)にふられた。 被她甩了。
752.美(うつく)しい。 美极了！
753.必要(ひつよう)ない。 不需要。
754.不可能(ふかのう)だ。 不可能的。
755.普段着(ふだんぎ)でいいです。 穿休闲装就可以了。
756.腹黒(はらぐろ)い。 黑心眼。
757.複雑(ふくざつ)なようだ。 好像挺复杂的。
758.分(わ)かった。 明白了。
759.分(わ)からない。 不知道。
760.聞(き)いたことない。 没听说过。
761.聞(き)け。 听着。
762.便利(べんり)だね。 真方便啊！
763.起立(きりつ)。 起立！
764.着席(ちゃくせき)。 坐下！
765.変人(へんじん)だね。 真是个古怪的家伙！
766.保証(ほしょう)する。 我保证。
767.放(はな)せよ。 放开我！
768.方向(ほうこう)おんち。 真是个路盲！
769.忘(わす)れがたい一日(いちにち)だね。 真是难忘的一天啊！
770.忘(わす)れちゃった。 忘了！
771.忘(わす)れるなよ。 别忘了。
772.忘(わす)れ物(もの)だ。 你忘了东西。
773.忘(わす)れ物(もの)をしないように。 请不要忘东西。
774.忙(いそが)しいな。 好忙啊！
775.忙(いそが)しいところ悪(わる)いけど。 您这么忙，打扰您真不好意思。
776.本気(ほんき)じゃないだろう。 你不是认真的吧。
777.本気(ほんき)だよ。 我是真心的。
778.本気(ほんき)の話(はなし)だ。 这是我的真心话。
779.本当(ほんとう)。 真的？
780.本当(ほんとう)に当(あ)てにならない。 真是靠不住！
781.本当(ほんとう)かも。 也许是真的。
782.本当(ほんとう)にお世話(せわ)になりました。 真给您添麻烦了。
783.無理(むり)しないように。 请别勉强。
784.無理(むり)だね。 不行啊！
785.明日(あした)の日程(にってい)はどうなっていますか。 明天的日程是怎么安排的？
786.明日(あした)は明日(あした)の風(かぜ)が吹(ふ)く。 明天又是新的一天。
787.明日暇(あしたひま)ですか。 明天有空吗？
788.迷子(まいご)になっちゃった。 迷路了。
789.面倒(めんどう)くさい。 太麻烦了！
790.問題(もんだい)ない。 没问题。
791.役立(やくだ)たない。 真没用。
792.約束(やくそく)。 一言为定。
793.遊(あそ)びにいらしてください。 请到家里来玩。
794.余計(よけい)な心配(しんぱい)だ。 别管闲事！
795.頼(たの)みたいことがあります。 有点事想拜托您。
796.理屈(りくつ)をつけて。 讲点理吧。
797.立派(りっぱ)だね。 真漂亮。
798.涼(すず)しい。 好凉快。
799.話題(わだい)を変(か)えたらどうですか。 换个话题怎么样？
800.連絡(れんらく)してね。 保持联系！
